title,description,video_url,level,order,thumbnail_url,content
Chào buổi sáng,Cách chào vào buổi sáng,https://drive.google.com/file/d/VIDEO_ID_1/view,beginner,1,,Bài học về cách chào vào buổi sáng - sử dụng ký hiệu tiêu chuẩn
Chào buổi chiều,Cách chào vào buổi chiều,https://drive.google.com/file/d/VIDEO_ID_2/view,beginner,2,,Bài học về cách chào vào buổi chiều - sử dụng ký hiệu tiêu chuẩn
Chào buổi tối,Cách chào vào buổi tối,https://drive.google.com/file/d/VIDEO_ID_3/view,beginner,3,,Bài học về cách chào vào buổi tối - sử dụng ký hiệu tiêu chuẩn
Xin chào,Cách nói xin chào cơ bản,https://drive.google.com/file/d/VIDEO_ID_4/view,beginner,4,,Bài học cơ bản về ký hiệu xin chào
Tạm biệt,Cách nói tạm biệt,https://drive.google.com/file/d/VIDEO_ID_5/view,beginner,5,,Bài học về cách nói tạm biệt cơ bản
Cảm ơn,Cách tỏ lòng cảm ơn,https://drive.google.com/file/d/VIDEO_ID_6/view,beginner,6,,Bài học về cách nói cảm ơn
Xin lỗi,Cách xin lỗi cơ bản,https://drive.google.com/file/d/VIDEO_ID_7/view,beginner,7,,Bài học về cách xin lỗi
Vâng/Không,Cách nói vâng hoặc không,https://drive.google.com/file/d/VIDEO_ID_8/view,beginner,8,,Bài học cơ bản về ký hiệu vâng và không
Bạn khỏe không,Cách chào hỏi sức khỏe,https://drive.google.com/file/d/VIDEO_ID_9/view,beginner,9,,Bài học về cách chào hỏi sức khỏe
Tôi khỏe,Cách nói tôi khỏe,https://drive.google.com/file/d/VIDEO_ID_10/view,beginner,10,,Bài học về cách trả lời tôi khỏe
